voice_id,language,gender,name,preview_audio,support_pause,emotion_support,support_interactive_avatar
3fbd2cac3ddd4c109e17296e324845ec,English,Male,Delbert - Cheerful,https://static.heygen.ai/voice_preview/CMr49SZRNaARsvmJ3tGDsN.wav,False,False,True
4158cf2ef85d4ccc856aacb1c47dbb0c,Chinese,Female,HsiaoChen - Friendly,https://static.heygen.ai/voice_preview/31b29b46e73649e8adec765755cea863.wav,False,False,True
422dbf6b037648b69f663cd33b47007b,Chinese,Male,Yunye - Calm,https://static.heygen.ai/voice_preview/500dbe5f9d604d6c82ed21df5d2c49a8.wav,False,False,True
4286c03d11f44af093e379fc7e2cafa6,Vietnamese,Female,Chau - Natural,https://resource.heygen.ai/text_to_speech/3JwsqfGcV3TvoziGzfqM9K.mp3,False,False,False
433c48a6c8944d89b3b76d2ddcc7176a,English,male,Echo,https://static.heygen.ai/voice_preview/xkaesJVAguCoZhH59A2u5S.wav,False,False,False
4353849104994cef800af14be98f35a8,Malay,Female,Yasmin - Natural,https://static.heygen.ai/voice_preview/HfhwqGVaqKy47bqem3w7ZP.wav,False,False,True
43eb6d3dc5294a119aa17ab1d60444d1,Japanese,Female,Sakura - Cheerful,https://static.heygen.ai/voice_preview/357ea409333949c8888088a0cff1551a.wav,False,False,True
44efc076bc8d4349931245c7748250c8,Persian,Female,Dilara,https://resource.heygen.ai/text_to_speech/5YLtostVc2594VKaKM2mS7.wav,False,False,True
456082e138624424bcace650c5e83306,Hindi,Female,Hemlata - Natural,https://static.heygen.ai/voice_preview/d320f2f8ca9346ea80710dcd62990c23.wav,False,False,False
456e13f3ff1345d3b7ab0435ce024dc7,English,Female,Isabella - Cheerful,https://static.heygen.ai/voice_preview/KhiBp6E75AmiqR2F9Ssmj7.wav,False,False,True
485f386643a7425d8b8e1f27637c6ccb,Catalan,Female,Joana - Natural,https://resource.heygen.ai/text_to_speech/cSLdGiqcXCoWDHDrQE8bTa.wav,False,False,True
4967f2fdcbd9473bb54c8db56e43e61a,Arabic,Female,Reem - Friendly,https://static.heygen.ai/voice_preview/882bfe8403724a3585efd7d566e435a6.wav,False,False,True
49b1349a70724374bdb18f8462c4fafb,English,male,tim_car,https://resource.heygen.ai/text_to_speech/eaLk6vNP8eVjGEt27jZiPW.mp3,False,False,False
49e3e441c5874cbab3a9e8086b927e8b,Spanish,Female,Salome - Natural,https://static.heygen.ai/voice_preview/9ca021b82b1a4987bdcdefb525539a1d.wav,False,False,True
